T(10,3).txt 20 0.5849144458770752
T(11,2).txt 11 0.009093284606933594
T(11,3).txt 22 0.5840106010437012
T(11,4).txt 33 75.21084880828857
T(13,2).txt 13 0.012437105178833008
T(13,3).txt 26 2.729869842529297
T(14,3).txt 28 5.219223737716675
T(15,2).txt 15 0.01627635955810547
T(16,3).txt 32 20.80052161216736
T(17,2).txt 17 0.02061772346496582
T(17,3).txt 34 22.423531532287598
T(19,2).txt 19 0.025573253631591797
T(21,2).txt 21 0.030944108963012695
T(23,2).txt 23 0.03682112693786621
T(25,2).txt 25 0.04794931411743164
T(27,2).txt 27 0.05044126510620117
T(29,2).txt 29 0.05819869041442871
T(3,2).txt 3 0.00080108642578125
T(31,2).txt 31 0.06667613983154297
T(33,2).txt 33 0.07477593421936035
T(35,2).txt 35 0.08405017852783203
T(4,3).txt 8 0.008117198944091797
T(5,2).txt 5 0.0023038387298583984
T(5,3).txt 10 0.014564990997314453
T(5,4).txt 15 0.11322283744812012
T(6,5).txt 24 7.822777032852173
T(7,2).txt 7 0.0038852691650390625
T(7,3).txt 14 0.05672812461853027
T(7,4).txt 21 2.619429111480713
T(7,5).txt 28 21.635623931884766
T(7,6).txt 35 357.4855387210846
T(8,3).txt 16 0.10456442832946777
T(8,5).txt 32 114.40765690803528
T(9,2).txt 9 0.006259441375732422
T(9,4).txt 27 3.172665596008301
T(9,5).txt 36 619.6387417316437
